date,equity,positions,cash
2024-09-05,995838.3300244653,2,586377.4800244654
2024-09-06,986451.6893087404,1,785612.3693087404
2024-09-09,978240.9380001619,0,978240.9380001619
2024-09-10,981877.8200500931,1,763648.0700500931
2024-09-11,986863.0700500931,1,763648.0700500931
2024-09-12,983499.1961383026,1,787033.6961383026
2024-09-13,990674.4720320648,1,822251.1720320648
2024-09-16,991213.1220320647,1,822251.1720320648
2024-09-17,990423.3720320647,1,822251.1720320648
2024-09-18,998956.7220320648,1,822251.1720320648
2024-09-19,1004545.7220320648,1,822251.1720320648
2024-09-20,1032940.2720320647,1,822251.1720320648
2024-09-23,1010289.5563169573,2,652814.0863169574
2024-09-24,1012312.2586227009,3,446483.1186227009
2024-09-25,1008747.818622701,3,446483.1186227009
2024-09-26,1006925.4928817997,2,618861.9728817997
2024-09-27,1016079.8156857656,2,678108.5156857657
2024-09-30,1025077.1156857656,2,678108.5156857657
2024-10-01,1025713.7156857657,2,678108.5156857657
2024-10-03,1010668.4156857657,2,678108.5156857657
2024-10-04,1005256.6970565306,1,876043.6970565306
2024-10-07,1000191.5861095056,0,1000191.5861095056
2024-10-08,1000191.5861095056,0,1000191.5861095056
2024-10-09,1000191.5861095056,0,1000191.5861095056
2024-10-10,1000191.5861095056,0,1000191.5861095056
2024-10-11,1000191.5861095056,0,1000191.5861095056
2024-10-14,1000191.5861095056,0,1000191.5861095056
2024-10-15,1000191.5861095056,0,1000191.5861095056
2024-10-16,994482.2550865543,0,994482.2550865543
2024-10-17,994482.2550865543,0,994482.2550865543
2024-10-18,988876.3912350981,0,988876.3912350981
2024-10-21,988876.3912350981,0,988876.3912350981
2024-10-22,988876.3912350981,0,988876.3912350981
2024-10-23,988876.3912350981,0,988876.3912350981
2024-10-24,988876.3912350981,0,988876.3912350981
2024-10-25,988876.3912350981,0,988876.3912350981
2024-10-28,988876.3912350981,0,988876.3912350981
2024-10-29,988876.3912350981,0,988876.3912350981
2024-10-30,988876.3912350981,0,988876.3912350981
2024-10-31,988876.3912350981,0,988876.3912350981
2024-11-01,988876.3912350981,0,988876.3912350981
2024-11-04,988876.3912350981,0,988876.3912350981
2024-11-05,988876.3912350981,0,988876.3912350981
2024-11-06,988876.3912350981,0,988876.3912350981
