date,equity,positions,cash
2024-09-05,987236.5001983588,2,660218.6701983588
2024-09-06,977484.1431099379,4,443904.94310993794
2024-09-09,956788.2071162903,5,273074.85711629037
2024-09-10,950207.3738634419,7,12746.323863441918
2024-09-11,936005.059328282,8,512.1093282819638
2024-09-12,948914.0251341246,8,14105.375134124508
2024-09-13,960986.8751341245,8,14105.375134124508
2024-09-16,964982.9717479545,8,1902.3717479545157
2024-09-17,970014.8717479545,8,1902.3717479545157
2024-09-18,963508.2526771958,8,73.80267719573749
2024-09-19,955404.3466658134,8,6260.896665813241
2024-09-20,971202.2466658133,8,6260.896665813241
2024-09-23,980781.6447225651,8,6549.04472256513
2024-09-24,974439.0447225651,8,6549.04472256513
2024-09-25,977265.5805111363,8,3557.480511136382
2024-09-26,987782.9379789388,8,9263.48797893888
2024-09-27,979217.5380331536,8,3241.99803315365
2024-09-30,962242.1453680175,8,214407.19536801742
2024-10-01,952926.9113331728,8,164733.79133317276
2024-10-03,929720.7852541645,7,833.055254164472
2024-10-04,913614.9670754957,6,223616.93707549572
2024-10-07,898831.7120877088,4,409611.2820877088
2024-10-08,907696.2520877088,4,409611.2820877088
2024-10-09,909588.7420877088,4,409611.2820877088
2024-10-10,900394.0926995113,3,636309.4426995113
2024-10-11,902096.2026995113,3,636309.4426995113
2024-10-14,899241.1095478863,1,768436.1495478863
2024-10-15,899969.8706370732,1,787920.6206370732
2024-10-16,888303.4389921582,3,395667.28899215814
2024-10-17,886539.5040744906,4,259560.10407449063
2024-10-18,865517.9312681819,3,292097.0812681819
2024-10-21,853093.7106930332,5,139554.91069303322
2024-10-22,838198.9458820558,0,838198.9458820558
2024-10-23,838198.9458820558,0,838198.9458820558
2024-10-24,838198.9458820558,0,838198.9458820558
2024-10-25,838198.9458820558,0,838198.9458820558
2024-10-28,838198.9458820558,0,838198.9458820558
2024-10-29,838198.9458820558,0,838198.9458820558
2024-10-30,838198.9458820558,0,838198.9458820558
2024-10-31,838198.9458820558,0,838198.9458820558
2024-11-01,838198.9458820558,0,838198.9458820558
2024-11-04,838198.9458820558,0,838198.9458820558
2024-11-05,838198.9458820558,0,838198.9458820558
2024-11-06,838198.9458820558,0,838198.9458820558
2024-11-07,838198.9458820558,0,838198.9458820558
2024-11-08,838198.9458820558,0,838198.9458820558
2024-11-11,838198.9458820558,0,838198.9458820558
2024-11-12,838198.9458820558,0,838198.9458820558
2024-11-13,838198.9458820558,0,838198.9458820558
2024-11-14,838198.9458820558,0,838198.9458820558
2024-11-18,838198.9458820558,0,838198.9458820558
2024-11-19,838198.9458820558,0,838198.9458820558
2024-11-21,838198.9458820558,0,838198.9458820558
2024-11-22,838198.9458820558,0,838198.9458820558
2024-11-25,838198.9458820558,0,838198.9458820558
2024-11-26,838198.9458820558,0,838198.9458820558
2024-11-27,838198.9458820558,0,838198.9458820558
2024-11-28,838198.9458820558,0,838198.9458820558
2024-11-29,838198.9458820558,0,838198.9458820558
2024-12-02,844005.9914593921,4,264784.1914593921
2024-12-03,844687.8199527358,8,1186.0699527358188
2024-12-04,842992.0699527358,8,1186.0699527358188
2024-12-05,853302.5699527357,8,1186.0699527358188
2024-12-06,858612.9199527358,8,1186.0699527358188
2024-12-09,857099.5199527359,8,1186.0699527358188
2024-12-10,866305.5382932748,8,9897.638293274762
2024-12-11,867027.0481397948,8,3472.148139794779
2024-12-12,868545.8127690211,7,122592.31276902108
2024-12-13,877219.672286371,8,10786.072286371083
2024-12-16,882084.4461430275,8,11007.496143027442
2024-12-17,880635.0829660302,8,2339.732966030264
2024-12-18,879462.6187230429,8,46754.26872304281
2024-12-19,880938.2052825241,8,113963.4552825241
2024-12-20,854860.7756454392,8,153109.17564543916
2024-12-23,859355.9907713417,6,408827.3907713417
2024-12-24,854525.5092272342,5,501180.7092272342
2024-12-26,848121.1893083017,2,708952.3393083017
2024-12-27,846466.0893083017,2,708952.3393083017
2024-12-30,846191.9393083017,2,708952.3393083017
2024-12-31,847346.9393083017,2,708952.3393083017
2025-01-01,847134.2893083016,2,708952.3393083017
2025-01-02,847996.4393083017,2,708952.3393083017
2025-01-03,849422.2893083016,2,708952.3393083017
2025-01-06,832797.6997097569,3,441034.89970975684
2025-01-07,833580.8063534917,2,533080.6263534918
2025-01-08,829795.2292932633,0,829795.2292932633
2025-01-09,829795.2292932633,0,829795.2292932633
2025-01-10,829795.2292932633,0,829795.2292932633
2025-01-13,829795.2292932633,0,829795.2292932633
2025-01-14,829795.2292932633,0,829795.2292932633
2025-01-15,829795.2292932633,0,829795.2292932633
2025-01-16,829795.2292932633,0,829795.2292932633
2025-01-17,829795.2292932633,0,829795.2292932633
2025-01-20,829795.2292932633,0,829795.2292932633
2025-01-21,829795.2292932633,0,829795.2292932633
2025-01-22,829795.2292932633,0,829795.2292932633
2025-01-23,829795.2292932633,0,829795.2292932633
2025-01-24,829795.2292932633,0,829795.2292932633
2025-01-27,829795.2292932633,0,829795.2292932633
2025-01-28,829795.2292932633,0,829795.2292932633
2025-01-29,829795.2292932633,0,829795.2292932633
2025-01-30,829795.2292932633,0,829795.2292932633
2025-01-31,829795.2292932633,0,829795.2292932633
2025-02-01,829795.2292932633,0,829795.2292932633
2025-02-03,829795.2292932633,0,829795.2292932633
2025-02-04,829795.2292932633,0,829795.2292932633
2025-02-05,829795.2292932633,0,829795.2292932633
2025-02-06,829795.2292932633,0,829795.2292932633
2025-02-07,829795.2292932633,0,829795.2292932633
2025-02-10,829795.2292932633,0,829795.2292932633
2025-02-11,829795.2292932633,0,829795.2292932633
2025-02-12,829795.2292932633,0,829795.2292932633
2025-02-13,829795.2292932633,0,829795.2292932633
2025-02-14,829795.2292932633,0,829795.2292932633
2025-02-17,829795.2292932633,0,829795.2292932633
2025-02-18,829795.2292932633,0,829795.2292932633
