symbol,setup_date,entry_date,exit_date,entry,stop,avg_exit,shares,stop_pct,risk_amount,pnl,r_multiple,pnl_pct,holding_bars,exit_reason,mfe_pct,mae_pct,confluence,levels,rs_rank,adr20,partials
KAYNES,2024-09-04,2024-09-05,2024-09-05,5002.700099999999,4767.0,4764.6165,21,4.711457718602783,4949.702099999981,-5235.636295889975,-1.0577679605990824,-4.983629022455271,0,stop_same_day,0.9155036097406858,-5.051274210900613,3,"ema9,ema21,avwap",95.80573951434879,4.919830568241258,0
CHAMBLFERT,2024-09-04,2024-09-05,2024-09-05,537.2685,515.0,514.7425000000001,224,4.144761883490288,4988.144000000004,-5316.822033599993,-1.0658918494734693,-4.417867909620603,0,stop_same_day,0.13615166346063146,-4.731060912746605,3,"ema9,ema21,avwap",88.74172185430463,3.4520590011926777,0
MOTHERSON,2024-09-04,2024-09-05,2024-09-06,129.06449999999998,125.77,125.707115,1517,2.552599669157658,4997.756499999978,-5537.614865948234,-1.1080201418272897,-2.828331847448361,1,stop,1.0579981327166075,-3.203437041169323,4,"ema9,ema21,ema50,avwap",75.93818984547461,2.639493119040167,0
RKFORGE,2024-09-04,2024-09-05,2024-09-06,1000.449975,963.0,968.265625,133,3.743313102686618,4980.846674999999,-4581.633601020008,-0.9198503587786125,-3.4432879005269665,1,ema9_close,1.174474016054631,-3.5983783197155788,3,"ema9,avwap,swing_high",92.05298013245033,3.7391403831850063,0
GODIGIT,2024-09-05,2024-09-06,2024-09-10,395.1975,377.15,379.11035000000004,273,4.566703989777267,4926.967500000003,-4634.885899507484,-0.9407177740684267,-4.295979612092673,2,ema9_close,2.4171458574510236,-4.351621657525669,3,"ema9,avwap,swing_high",72.84768211920529,4.6319917813826175,0
NEULANDLAB,2024-09-05,2024-09-06,2024-09-10,12856.324949999998,12330.8,12324.6346,9,4.087676315306569,4729.724549999992,-5045.8360813424815,-1.0668350826778041,-4.360876499800186,2,stop,2.841986737430765,-5.718780077972426,3,"ema9,avwap,swing_high",99.11699779249447,4.050636287076557,0
CHOLAHLDNG,2024-09-05,2024-09-06,2024-10-04,1835.867475,1755.0,2011.6793800893442,61,4.4048645177942385,4932.915975000001,10454.62079856549,2.1193591886724743,9.335490090644567,19,ema9_close,17.380477041241747,-3.4979363093733156,2,"avwap,swing_high",94.26048565121413,4.504808849109501,1
INOXWIND,2024-09-05,2024-09-06,2024-09-09,221.360625,215.88,215.77206,900,2.4758807037159403,4932.562500000003,-5482.140828974979,-1.1114184217584624,-2.7517394241862014,1,stop,5.090957346185661,-4.368719595004762,2,"ema9,avwap",93.59823399558499,5.649540767284001,0
INOXWIND,2024-09-06,2024-09-09,2024-09-09,226.83336,217.02,216.91149000000001,498,4.326241960177281,4887.053279999995,-5195.223935594987,-1.0630585831458323,-4.59904864853211,0,stop_same_day,2.555461859754666,-6.675984520089991,2,"ema9,avwap",94.48123620309052,5.701663481404309,0
ATUL,2024-09-06,2024-09-09,2024-09-11,8004.0,7770.0,7857.819125,20,2.923538230884558,4680.0,-3288.439339874993,-0.7026579786057677,-2.0542474636900256,2,ema9_close,1.323713143428293,-2.2045227386306823,3,"ema9,ema21,avwap",84.98896247240619,2.4539000818608203,0
BERGEPAINT,2024-09-06,2024-09-09,2024-09-23,601.3004999999999,586.25,614.542575,324,2.5029914327362017,4876.361999999981,3837.409170255015,0.7869409962293673,1.9697065716309976,10,ema9_close,4.6897516300086295,-1.2723255676654128,2,"ema9,avwap",73.28918322295806,2.785656360771489,0
PATANJALI,2024-09-06,2024-09-09,2024-09-09,643.651665,630.03,629.714985,279,2.1163100696709933,3800.444535000002,-4296.893409652495,-1.1306291593208302,-2.3927618749343225,0,stop_same_day,0.052564922674445215,-2.756407846781537,1,ema9,89.40397350993378,3.0200117436674643,0
HFCL,2024-09-09,2024-09-10,2024-09-11,154.96744499999997,149.01,148.935495,803,3.844320334506373,4783.828334999983,-5124.295019942981,-1.0711703391302814,-4.117921916438628,1,stop,0.892158349774706,-5.62533956728781,3,"ema9,avwap,swing_high",96.24724061810154,4.941147297773195,0
PATANJALI,2024-09-09,2024-09-10,2024-09-11,644.311995,625.91,638.4106350000001,259,2.8560689763349907,4766.116705000015,-1910.5111753454842,-0.40085278930354645,-1.1448632156072058,1,ema9_close,0.6748291252904494,-1.7572224462467148,3,"ema9,ema21,avwap",88.52097130242825,3.0171796040322176,0
PTCIL,2024-09-09,2024-09-10,2024-09-18,14266.1295,13700.0,14241.525675000003,3,3.968346845582743,1698.3884999999973,-172.16288535374497,-0.10136837676052637,-0.4022648781594778,6,ema9_close,3.3917433596828204,-2.569929706582286,3,"ema9,ema21,avwap",81.45695364238411,4.370839263899906,0
SHRIRAMFIN,2024-09-09,2024-09-10,2024-10-03,665.91279,643.22,681.5590500000001,210,3.4077720597617516,4765.485899999989,2960.3001506400356,0.6211958681149476,2.1168939230015646,16,ema9_close,9.691540839754708,-2.9857948816390807,3,"ema9,avwap,swing_high",84.54746136865342,2.5114881855683935,0
GRANULES,2024-09-10,2024-09-11,2024-09-12,696.9983249999999,668.2,667.8659000000001,164,4.131763874755347,4722.925299999977,-5035.131092834965,-1.066104325815822,-4.404891340126218,1,stop,0.24414334137748994,-19.35418209218794,3,"ema9,ema21,avwap",92.93598233995584,2.9824847003537105,0
OFSS,2024-09-10,2024-09-11,2024-09-18,11455.524899999999,11030.0,11253.87025,11,3.714582297315757,4680.773899999984,-2505.4749986474935,-0.5352693918087994,-1.9883022071079381,5,ema9_close,10.15645385223685,-3.3195763906025633,3,"ema9,avwap,gap_base",86.31346578366445,2.7708345070846248,0
MPHASIS,2024-09-10,2024-09-11,2024-09-18,3115.707075,3009.3,3007.7953500000003,44,3.4151822504045772,4681.911299999983,-5057.965122704975,-1.080320578201683,-3.689491663421198,5,stop,2.3138543921045596,-4.516055958180857,3,"ema9,ema21,avwap",81.01545253863135,2.7742821950679986,0
JUBLFOOD,2024-09-10,2024-09-11,2024-09-26,671.6356499999999,644.05,687.55605,113,4.107234331590348,3117.1784499999985,1622.378238585014,0.5204637028672564,2.1376663887630336,11,ema9_close,6.523529535693953,-2.097215953322305,3,"ema9,ema21,avwap",78.80794701986756,2.332684647382033,0
ICICIPRULI,2024-09-11,2024-09-12,2024-09-16,759.5295749999999,741.7,749.52505,126,2.347449735581378,2246.526449999983,-1479.232165162485,-0.6584530376495217,-1.5456854091231251,2,ema9_close,0.687323465975652,-1.8405570316336792,3,"ema9,ema21,avwap",83.6644591611479,2.2632360676726924,0
SHYAMMETL,2024-09-13,2024-09-16,2024-09-27,879.4395,846.0,899.8498500000001,121,3.8023650290895454,4046.1794999999943,2222.064236947504,0.5491758922083183,2.0881672073519595,9,ema9_close,8.807939602439973,-3.3418444361437025,2,"avwap,swing_high",88.74172185430463,3.5831594489509166,0
