symbol,strategy,date,year,passed,reject,rank,risk_pct,avg_turnover_20,turnover_drift,cb_purity,cb_count,cluster_fraction,single_tower,ema_sep,contained,upper_half,base_ret,base_bars,base_exit,base_risk,base_r,auth_ret,auth_bars,auth_exit,auth_risk,auth_r
360ONE,S1,2026-01-02,2026,False,pivot,0.4528299982974138,,76.714970749,-0.17039434782466645,0.0,0,0.2727272727272727,False,0.011716976530726857,True,True,-7.000000000000004,11,stop,7.000000000000004,-1.0,-4.845704753961627,4,ema10,7.000000000000004,-0.6922435362802319
360ONE,S1,2026-01-05,2026,False,contained,1.3641643175976434,0.011057964970808935,76.73418108450001,-0.1501010834696963,0.0,0,0.2727272727272727,False,0.012098408691907585,False,True,-7.0000000000000115,10,stop,7.0000000000000115,-1.0,-3.8837405223251817,3,ema10,7.0000000000000115,-0.5548200746178822
360ONE,S1,2026-01-06,2026,False,contained,1.3928040490432336,0.014639848357203078,73.9097283345,-0.21167374962221364,0.0,0,0.2727272727272727,False,0.01141099603639669,False,True,-7.000000000000013,9,stop,7.000000000000013,-1.0,-1.860840745091459,0,stop,1.860840745091459,-1.0
360ONE,S1,2026-01-07,2026,False,contained,1.2782383829567927,0.024452508810202993,71.77330723749999,-0.28894436088122744,0.0,0,0.2727272727272727,False,0.010919953658069094,False,True,-7.000000000000009,8,stop,7.000000000000009,-1.0,-1.7112604615774845,1,stop,1.7112604615774845,-1.0
360ONE,S1,2026-01-16,2026,False,event,0.7241491432542841,0.07162686816398108,108.40938539700001,0.03858121459349051,0.0,0,0.2727272727272727,False,0.001337663009492842,False,False,-7.000000000000013,2,stop,7.000000000000013,-1.0,-3.4612426288351426,1,ema10,4.972865567045552,-0.6960257787325457
360ONE,S3,2025-01-10,2025,False,event,0.9123656411784141,0.019672526791249503,71.74757283125,-0.03492349501067249,0.0,0,0.18181818181818182,False,0.002979283057315952,False,False,-7.000000000000006,11,stop,7.000000000000006,-1.0,2.227868778075226,1,ema10,7.000000000000006,0.3182669682964606
360ONE,S3,2025-01-14,2025,False,event,0.7655170672879588,0.038122503328894754,70.89307401274999,-0.0991873776686889,0.0,0,0.18181818181818182,False,0.014720040493952263,False,False,-7.0000000000000036,7,stop,7.0000000000000036,-1.0,-3.728685743013951,5,ema10,9.208177971427373,-0.40493198052686663
360ONE,S3,2025-01-15,2025,False,event,0.4585528844166412,0.09208177971427373,87.97795830724999,0.08619298933206121,0.0,0,0.18181818181818182,False,0.011450769515641942,False,False,-7.000000000000002,4,stop,7.000000000000002,-1.0,-4.170315692897953,4,ema10,9.624671587639183,-0.43329433684301755
360ONE,S3,2025-01-16,2025,False,event,0.4114108937694475,0.09624671587639183,91.297192016,0.09991983149450379,0.0,0,0.18181818181818182,False,0.009003162865665928,False,False,-7.000000000000013,6,stop,7.000000000000013,-1.0,-2.9357100616710317,3,ema10,8.460336233843032,-0.3469968545608868
360ONE,S3,2025-01-17,2025,False,event,0.6288102794493289,0.08460336233843033,91.31479423175,0.1686623524164521,0.0,0,0.18181818181818182,False,0.008280864472090756,False,False,-6.999999999999998,2,stop,6.999999999999998,-1.0,-5.5528154541718004,2,ema10,10.928483353884088,-0.5081048553913271
