symbol,strategy,date,year,imm_ret,imm_r,imm_bars,imm_exit,imm_risk,waited,trigger,zone,chain_ret,chain_r,reentries,wait_bars,w_risk,w_ret,w_r,w_bars,w_exit,wflat_ret,wflat_r
360ONE,S1,2026-01-02,2026,-7.000000000000004,-1.0,11,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S1,2026-01-05,2026,-7.0000000000000115,-1.0,10,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S1,2026-01-06,2026,-7.000000000000013,-1.0,9,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S1,2026-01-07,2026,-7.000000000000009,-1.0,8,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S1,2026-01-16,2026,-7.000000000000013,-1.0,2,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-10,2025,-7.000000000000006,-1.0,11,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-14,2025,-7.0000000000000036,-1.0,7,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-15,2025,-7.000000000000002,-1.0,4,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-16,2025,-7.000000000000013,-1.0,6,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-17,2025,-6.999999999999998,-1.0,2,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-21,2025,-7.000000000000002,-1.0,3,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-22,2025,-7.000000000000014,-1.0,2,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-23,2025,-7.000000000000011,-1.0,1,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-01-24,2025,-7.000000000000004,-1.0,1,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-02-25,2025,-7.000000000000002,-1.0,7,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-05-14,2025,21.00000000000002,3.0000000000000018,35,target,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-05-16,2025,21.000000000000007,2.9999999999999982,34,target,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-05-20,2025,21.00000000000001,3.0,31,target,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-05-22,2025,21.00000000000003,3.0,29,target,7.000000000000001,True,A_cross_then_IB,M10,4.743533537921956,0.38648999573146375,0.0,16.0,12.273366944322667,4.743533537921956,0.38648999573146375,18.0,ema10,-7.0000000000000036,-1.0000000000000004
360ONE,S3,2025-05-27,2025,21.000000000000036,3.0000000000000018,27,target,7.000000000000001,True,A_cross_then_IB,M10,4.743533537921956,0.38648999573146375,0.0,13.0,12.273366944322667,4.743533537921956,0.38648999573146375,18.0,ema10,-7.0000000000000036,-1.0000000000000004
360ONE,S3,2025-05-30,2025,21.000000000000004,3.0,23,target,7.000000000000001,True,A_cross_then_IB,M10,4.743533537921956,0.38648999573146375,0.0,10.0,12.273366944322667,4.743533537921956,0.38648999573146375,18.0,ema10,-7.0000000000000036,-1.0000000000000004
360ONE,S3,2025-06-02,2025,21.00000000000002,2.9999999999999982,22,target,7.000000000000001,True,A_cross_then_IB,M10,4.743533537921956,0.38648999573146375,0.0,9.0,12.273366944322667,4.743533537921956,0.38648999573146375,18.0,ema10,-7.0000000000000036,-1.0000000000000004
360ONE,S3,2025-06-03,2025,21.000000000000018,2.9999999999999982,22,target,7.000000000000001,True,A_cross_then_IB,M10,4.743533537921956,0.38648999573146375,0.0,8.0,12.273366944322667,4.743533537921956,0.38648999573146375,18.0,ema10,-7.0000000000000036,-1.0000000000000004
360ONE,S3,2025-07-22,2025,-7.000000000000001,-1.0,6,stop,7.000000000000001,False,,,,,,,,,,,,,
360ONE,S3,2025-07-23,2025,-7.000000000000013,-1.0,5,stop,7.000000000000001,False,,,,,,,,,,,,,
